SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE 
 Sales of Goods ,44110100,Cash  Sales,-42009.281,0,3428.617,-45437.898
 Sales of Goods ,44110101,Credit Sales,-8167427.95,26809.807,696720.923,-8837339.066
 Sales of Goods ,44110200,Discount On Cash Sales,10479.847,184.793,0,10664.64
 Sales of Goods ,44110201,Discount On Credit Sales,627664.246,56375.268,0.091,684039.423
 Cost of Sales ,44120100,Cost Of Cash Sales,24033.275,1907.166,0,25940.441
 Cost of Sales ,44120101,Cost Of Credit Sales,5237693.233,446839.675,15489.248,5669043.66
 Cost of Sales ,44120500,FOC Transfer -A Rechargeable,-55389.81,1090,4137,-58436.81
 Gain on foreign exchange ,44220301,Exchange Rate,-6823.957,140.815,15172.642,-21855.784
 Other Income ,44220302,Others,-5207.249,0,712.544,-5919.793
 Other Income ,44220334,Other Income - Ferrero Merchandiser,-248369,0,22579,-270948
 Other Income ,44220335,Other Income - Ferrero 3PL,-663063.204,5407.4,72431.835,-730087.639
 Other Income ,44220337,Other Income - Commission Income From Fergulf,-232222.221,0,21111.111,-253333.332
 Other Income ,44220339,Other Income -  Goodlife,-77000,0,7000,-84000
 Other Income ,44220340,Other Income -  Bateel 3PL,-22220,0,2020,-24240
 Other Income ,44220341,Other Income -  Al Thiqa 3PL,-79750,0,19846.255,-99596.255
 Finance Cost ,44220345,Interest Income - Fixed Deposit,-52572,0,5312,-57884
 Distribution Costs ,55110101,Staff Cost - Sales Commission,107847.367,10236.91,0,118084.277
 Distribution Costs ,55110102,Damage,88357.985,20649.507,11421.968,97585.524
 Distribution Costs ,55110103,Advertising & Promotion,148094.46,4002.8,0,152097.26
 Distribution Costs ,55110104,Cars Expenses,5207.459,329.364,0,5536.823
 Distribution Costs ,55110107,GIFT & SAMPLE,2.665,7.48,0,10.145
 Finance Cost ,55110109,Refinancing Interest - KFH / KIB,62583.444,5493.329,0,68076.773
 Distribution Costs ,55110112,Extra Discount To Customer,441.44,0,0,441.44
 Distribution Costs ,55110113,Stock Take Varaince,307.905,3012.822,0,3320.727
 Distribution Costs ,55110119,Damages - HHT,10129.383,4007.513,0,14136.896
 Distribution Costs ,55110123,Muncipality Samples,3251.47,146.77,0,3398.24
 Distribution Costs ,55110124,A&P - Rebates,205640.255,30531.91,0,236172.165
 Distribution Costs ,55110125,A&P - Rentals - Contractual,130704.311,30398.208,0,161102.519
 Distribution Costs ,55110126,A&P - Rentals - Non Contractual,75988.502,0,0,75988.502
 Distribution Costs ,55110127,A&P - Listing Fees,29724.038,13199.941,0,42923.979
 Distribution Costs ,55110128,A&P - Off Shelf Display (Osd),226495.042,8981.8,0,235476.842
 Distribution Costs ,55110129,A&P - Promotion Spends,2212.768,2565.963,0,4778.731
 Distribution Costs ,55110130,A&P - Other Market Spends,56251.652,6076.687,0,62328.339
 Distribution Costs ,55110131,A&P - In-Market Liquidation,49168.369,13061.406,0,62229.775
 Distribution Costs ,55110132,A&P - Contract &  Inventory Support,97111.661,3030.175,0,100141.836
 Distribution Costs ,55110133,A&P - Price Diff  Price Increase Fees,14297.15,255.229,0,14552.379
 Distribution Costs ,55110134,A&P - Foc Goods Income,-15975.883,0,11.704,-15987.587
 Distribution Costs ,55110135,A&P - Support From BP (Non GP),-227404,0,28608,-256012
 Distribution Costs ,55120101,Staff Cost - Salaries,996308.348,96862.954,6787,1086384.302
 Distribution Costs ,55120102,Staff Cost - Leave,91401.76,9302.836,1226,99478.596
 Distribution Costs ,55120103,Staff Cost - Indemnity,122798.013,9766.852,0,132564.865
 Administrative expenses ,55120104,MANAGER BOUNS,0,43000,0,43000
 Distribution Costs ,55120105,Staff Cost - Insurance,47810.322,3340,0,51150.322
