Customer No,Cust Name,Quantity Pack,Quantity Piece,Debit Credit Type,Tr Date,Sales Lc,Sales Cost Lc,Additional Discount Lc,Price Discount Lc,Discount Lc,Brand Name,Cost Centre Pk,Net,Gross Sales,Discount,QTY PACK,QTY Piece,ALL_Pieces,QTY _ALL,QTY SOLD,Net Sales,Short Name,Id,Cost,Foc Goods,Cost of Sales,Salesman Name,Salesman Code,Common Code,Accperd Id,Price Tc,Your Ref,Tr Ref,Product No,Pack Size,Name,Weight Size,Flex Field5,Flex Field8,Flex Field9,Flex Field3,ADDL DISC,NET DISCOUNT,MRM DISCOUNT,NEW PDF,GROSS SALES,Avg Cost Price,Liquidation,Tr No2,Flex Field0,Computed,Act Qty Sold,Retail Price,MRM FOC ,TYPE,Month,Division,Tot CTN,Year,Net Profit,Supplier Name,FSD_Brands
30,CATERING CASH SALES,10,0,C,45414,170,94.01,0,10,0,LESIEUR,504,1,170,10,30,0,30,10,30,160,K-CRINVDN,15012,94.01,0,94.01,Reda Zaki 99972217,39,CATERING,2767,16,519756,220355021,LCO5FS,3,Lesieur Canola Oil 3x(4+1L),15,Lesieur,Division,,OILS & FATS,0,0,0,10,160,8.708,0,100500023,LCO5FS,10,10,17,0,INV,May,FSDiv,10,2024,65.99,Lesieur SAS,BK BRANDS
30,CATERING CASH SALES,1,0,C,45414,3.495,1.8,0,0.195,0,BAHLSEN,504,1,3.495,0.195,24,0,24,1,24,3.3,K-CRINVDN,15012,1.8,0,1.8,Ghazal,104,CATERING,2767,3.3,519659,220355045,BK2482FSD,24,PICK UP CHOCO & MILK 28 G,2.688,Bahlsen,Division,HHT,BK BRANDS,0,0,0,0.195,3.3,1.8,0,100500024,BK2482,1,1,3.495,0,INV,May,FSDiv,1,2024,1.5,Bahlsen GmbH Co. & KG,BK BRANDS
9713,GRAND HYPER SHOPPING CENTER,0,30,C,45418,15.817,7.463,0,0,0.791,KITCHEN TREASURES,503,1,15.817,0.791,0,30,30,0.5,30,15.026,K-CRINVDN,15012,7.463,0,7.463,Nizar Ibrahim,23,KA,2767,31.633,2.404E+12,220355147,KT0911,60,Spicy Chicken Masala  60*165gm,12.87,KITCHENTREASURES,Division,HHT,BK BRANDS,0,0.791,0.791,0,15.817,14.925,0,100500339,KT0911,0.5,0.5,27.27,0,INV,May,CA Div,0.5,2024,8.354,KITCHEN TREASURES,
9713,GRAND HYPER SHOPPING CENTER,1,0,C,45418,13.99,6.567,0,0,0.7,KITCHEN TREASURES,503,1,13.99,0.7,40,0,40,1,40,13.29,K-CRINVDN,15012,6.567,0,6.567,Nizar Ibrahim,23,KA,2767,13.99,2.404E+12,220355147,KT1277,40,Tamarind  40*200gm,8.98,KITCHENTREASURES,Division,HHT,BK BRANDS,0,0.7,0.7,0,13.99,6.567,0,100500339,KT1277,1,1,12.06,0,INV,May,CA Div,1,2024,7.423,KITCHEN TREASURES,
9713,GRAND HYPER SHOPPING CENTER,0,20,C,45418,13.346,6.379,0,0,0.667,KITCHEN TREASURES,503,1,13.346,0.667,0,20,20,0.5,20,12.679,K-CRINVDN,15012,6.379,0,6.379,Nizar Ibrahim,23,KA,2767,26.692,2.404E+12,220355147,KT1093,40,Asafoteida Powder 40*100gm,5.28,KITCHENTREASURES,Division,HHT,BK BRANDS,0,0.667,0.667,0,13.346,12.758,0,100500339,KT1093,0.5,0.5,23.01,0,INV,May,CA Div,0.5,2024,6.967,KITCHEN TREASURES,
9713,GRAND HYPER SHOPPING CENTER,0,12,C,45418,5.413,4.509,0,0,0.271,Nirmal,503,1,5.413,0.271,0,12,12,0.25,12,5.142,K-CRINVDN,15012,4.509,0,4.509,Nizar Ibrahim,23,KA,2767,21.65,2.404E+12,220355147,KLFM12,48,KLF NIRMAL COCONAD MILK POWDER 48X150G,7.2,Nirmal,Division,HHT,BK BRANDS,0,0.271,0.271,0,5.413,18.037,0,100500339,KLFM12,0.25,0.25,21.65,0,INV,May,CA Div,0.25,2024,0.904,Klf Nirmal,BK BRANDS
9713,GRAND HYPER SHOPPING CENTER,0,10,C,45418,12.318,9.007,0,0,0.616,Nirmal,503,1,12.318,0.616,0,10,10,0.5,10,11.702,K-CRINVDN,15012,9.007,0,9.007,Nizar Ibrahim,23,KA,2767,24.635,2.404E+12,220355147,KLFC15,20,COCONAD- COCONUT NATURAL OIL 20X720ML WIDE MOUTH,14.4,Nirmal,Division,HHT,BK BRANDS,0,0.616,0.616,0,12.318,17.976,0,100500339,KLFC15,0.5,0.5,24.635,0,INV,May,CA Div,0.5,2024,3.311,Klf Nirmal,BK BRANDS
9713,GRAND HYPER SHOPPING CENTER,0,36,C,45418,18.419,14.584,0,0,0.921,NIRAPARA,503,1,18.419,0.921,0,36,36,0.5,36,17.498,K-CRINVDN,15012,14.584,0,14.584,Nizar Ibrahim,23,KA,2767,36.838,2.404E+12,220355147,NP0782,72,GARAM MASALA 72*100gm,7.2,Nirapara,Division,HHT,BK BRANDS,0,0.921,0.921,0,18.419,29.167,0,100500339,NP0782,0.5,0.5,36.474,0,INV,May,CA Div,0.5,2024,3.835,Nirapara- Kkr Agro Mills,BK BRANDS
9713,GRAND HYPER SHOPPING CENTER,1,0,C,45418,27.629,21.9,0,0,1.381,NIRAPARA,503,1,27.629,1.381,60,0,60,1,60,26.248,K-CRINVDN,15012,21.9,0,21.9,Nizar Ibrahim,23,KA,2767,27.629,2.404E+12,220355147,NP2311,60,MUTTON MASALA 60*200gm,12,Nirapara,Division,HHT,BK BRANDS,0,1.381,1.381,0,27.629,22.128,0,100500339,NP2311,1,1,27.355,0,INV,May,CA Div,1,2024,5.729,Nirapara- Kkr Agro Mills,BK BRANDS
9713,GRAND HYPER SHOPPING CENTER,1,0,C,45418,26.094,23.347,0,0,1.305,NIRAPARA,503,1,26.094,1.305,60,0,60,1,60,24.789,K-CRINVDN,15012,23.347,0,23.347,Nizar Ibrahim,23,KA,2767,26.094,2.404E+12,220355147,NP0096,60,CORIANDER POWDER 60*200gm,12,Nirapara,Division,HHT,BK BRANDS,0,1.305,1.305,0,26.094,21.541,0,100500339,NP0096,1,1,25.836,0,INV,May,CA Div,1,2024,2.747,Nirapara- Kkr Agro Mills,BK BRANDS
