SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,
 Sales of Goods ,44110100,Cash  Sales,-31762.22,0,2404.86,-34167.08,
 Sales of Goods ,44110101,Credit Sales,-5212288.811,12833.058,777495.001,-5976950.754,
 Sales of Goods ,44110200,Discount On Cash Sales,9793.609,225.511,0,10019.12,
 Sales of Goods ,44110201,Discount On Credit Sales,418177.306,60078.393,0.059,478255.64,
 Cost of Sales ,44120100,Cost Of Cash Sales,18205.534,1318.697,0,19524.231,
 Cost of Sales ,44120101,Cost Of Credit Sales,3283520.145,494999.801,7760.067,3770759.879,
 Cost of Sales ,44120500,FOC Transfer -A Rechargeable,10265.052,4893.161,375,14783.213,
 Gain on foreign exchange ,44220301,Exchange Rate,-6895.163,1118.957,775.897,-6552.103,
 Other Income ,44220302,Others,-1992.204,0.035,1563.923,-3556.092,
 Other Income ,44220334,Other Income - Ferrero Merchandiser,-158053,0,22579,-180632,
 Other Income ,44220335,Other Income - Ferrero 3PL,-400163.09,190,59852.05,-459825.14,
 Other Income ,44220337,Other Income - Commission Income From Fergulf,-147777.777,0,21111.111,-168888.888,
 Other Income ,44220339,Other Income -  Goodlife,-49000,0,7000,-56000,
 Other Income ,44220340,Other Income -  Bateel 3PL,-14140,0,2020,-16160,
 Other Income ,44220341,Other Income -  Al Thiqa 3PL,-50750,0,7250,-58000,
 Finance Cost ,44220345,Interest Income - Fixed Deposit,-30076,0,5936,-36012,
 Distribution Costs ,55110101,Staff Cost - Sales Commission,68614.297,11714.72,0,80329.017,
 Distribution Costs ,55110102,Damage,28166.513,6116.632,151.839,34131.306,
 Distribution Costs ,55110103,Advertising & Promotion,99561.75,1290.94,0,100852.69,
 Distribution Costs ,55110104,Cars Expenses,4057.773,291.114,0,4348.887,
 Finance Cost ,55110109,Refinancing Interest - KFH / KIB,39666.806,4406.797,0,44073.603,
 Distribution Costs ,55110112,Extra Discount To Customer,1.29,440,0,441.29,
 Distribution Costs ,55110113,Stock Take Varaince,149.855,1.733,209.66,-58.072,
 Distribution Costs ,55110119,Damages - HHT,6696.031,629.619,0,7325.65,
 Distribution Costs ,55110123,Muncipality Samples,2089.946,409.697,0,2499.643,
 Distribution Costs ,55110124,A&P - Rebates,118566.577,18673.071,1543,135696.648,
 Distribution Costs ,55110125,A&P - Rentals - Contractual,63916.359,25873.038,9780,80009.397,
 Distribution Costs ,55110126,A&P - Rentals - Non Contractual,49709.323,5544.81,225,55029.133,
 Distribution Costs ,55110127,A&P - Listing Fees,11155.845,34594.133,32197,13552.978,
 Distribution Costs ,55110128,A&P - Off Shelf Display (Osd),130493.604,53889.161,7223,177159.765,
 Distribution Costs ,55110129,A&P - Promotion Spends,1636.547,194.972,358.188,1473.331,
 Distribution Costs ,55110130,A&P - Other Market Spends,37575.953,8802.008,946,45431.961,
 Distribution Costs ,55110131,A&P - In-Market Liquidation,13049.098,7998.569,1093,19954.667,
 Distribution Costs ,55110132,A&P - Contract &  Inventory Support,70039.806,4081.916,175,73946.722,
 Distribution Costs ,55110133,A&P - Price Diff  Price Increase Fees,3998.248,359.313,65,4292.561,
 Distribution Costs ,55110134,A&P - Foc Goods Income,-10029.067,0,708.707,-10737.774,
 Distribution Costs ,55110135,A&P - Support From BP (Non GP),-135409,0,27568,-162977,
 Distribution Costs ,55120101,Staff Cost - Salaries,648066.611,100648.841,15057,733658.452,
 Distribution Costs ,55120102,Staff Cost - Leave,57935.111,9535.528,1161,66309.639,
 Distribution Costs ,55120103,Staff Cost - Indemnity,84775.824,9582.135,0,94357.959,
 Distribution Costs ,55120105,Staff Cost - Insurance,20768.322,9080,0,29848.322,
 Administrative expenses ,55120107,Staff Cost - Temporary Labour,24993.153,10310.962,6761,28543.115,
 Distribution Costs ,55120108,Staff cost - Training,1059.499,151.357,0,1210.856,
 Administrative expenses ,55120109,Staff Cost - Overtime,37913.194,4855.888,0,42769.082,
 Distribution Costs ,55120110,Staff Cost - Air Ticket,32831.021,4618.503,0,37449.524,
 Distribution Costs ,55120111,Staff Cost - School Fees,17018.322,2483.331,458,19043.653,
 Distribution Costs ,55120112,Staff Cost - Staff Welfare,1586.64,111.7,0,1698.34,
 Distribution Costs ,55120113,Staff Cost - Extra Commission,58.56,0,0,58.56,
 Distribution Costs ,55120114,Staff Cost - Health Card,1113,125,0,1238,
 Distribution Costs ,55120115,Staff Cost - Family Visa,45,0,0,45,
 Distribution Costs ,55120119,Staff Cost - Civil Id Fees,545,160,0,705,
 Distribution Costs ,55120121,Staff Cost - Group Life Insurance,4910.075,938.776,28.221,5820.63,
 Administrative expenses ,55120124,Staff Cost - Security Guard-Outsourced,12150,2430,1080,13500,
