SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,,,,,,,,
 Sales of Goods ,44110100,CASH  SALES,-27483.018,0,4279.202,-31762.22,,,,,,,,
 Sales of Goods ,44110101,CREDIT SALES,-4436591.155,12953.19,788650.846,-5212288.811,,,,,,,,
 Sales of Goods ,44110200,DISCOUNT ON CASH SALES,9223.488,570.121,0,9793.609,,,,,,,,
 Sales of Goods ,44110201,DISCOUNT ON CREDIT SALES,368047.775,50134.733,5.202,418177.306,,,,,,,,
 Cost of Sales ,44120100,COST OF CASH SALES,15633.102,2572.432,0,18205.534,,,,,,,,
 Cost of Sales ,44120101,COST OF CREDIT SALES,2789924.641,501678.155,8082.651,3283520.145,,,,,,,,
 Cost of Sales ,44120500,FOC TRANSFER -A&P RECHARGEABLE,9151.052,1881,767,10265.052,,,,,,,,
 Gain on foreign exchange ,44220301,EXCHANGE RATE,-6778.707,990.332,1106.788,-6895.163,,,,,,,,
 Other Income ,44220302,OTHERS,-1723.923,0,268.281,-1992.204,,,,,,,,
 Other Income ,44220334,FERRERO MERCHANDISER INCOME,-135474,0,22579,-158053,,,,,,,,
 Other Income ,44220335,FERRERO 3PL INCOME,-337976.882,0,62186.208,-400163.09,,,,,,,,
 Other Income ,44220337,COMMISSION INCOME FROM FERGULF,-126666.666,0,21111.111,-147777.777,,,,,,,,
 Other Income ,44220339,INCOME FROM GOODLIFE,-42000,0,7000,-49000,,,,,,,,
 Other Income ,44220340,INCOME FROM BATEEL,-12120,0,2020,-14140,,,,,,,,
 Other Income ,44220341,INCOME FROM AL THIQA 3PL,-43500,0,7250,-50750,,,,,,,,
 Finance Cost ,44220345,INTEREST INCOME - FIXED DEPOSIT,-24996,0,5080,-30076,,,,,,,,
 Distribution Costs ,55110101,SALES COMMISSION,57728.967,10885.33,0,68614.297,,,,,,,,
 Distribution Costs ,55110102,DAMAGE,24240.441,3926.072,0,28166.513,,,,,,,,
 Distribution Costs ,55110103,ADVERTISING & PROMOTION,107561.75,0,8000,99561.75,,,,,,,,
 Distribution Costs ,55110104,CARS EXPENSES,3842.184,215.589,0,4057.773,,,,,,,,
 Finance Cost ,55110109,REFINANCING INTEREST -KFH,33461.297,6205.509,0,39666.806,,,,,,,,
 Distribution Costs ,55110112,EXTRA DISCOUNT TO CUST,1.29,0,0,1.29,,,,,,,,
 Distribution Costs ,55110113,STOCK TAKE VARAINCE,149.855,0,0,149.855,,,,,,,,
 Distribution Costs ,55110119,DAMAGES - HHT,6031.03,665.001,0,6696.031,,,,,,,,
 Distribution Costs ,55110123,MUNCIPALITY SAMPLES,1694.376,395.57,0,2089.946,,,,,,,,
 Distribution Costs ,55110124,REBATES,83115.933,48760.644,13310,118566.577,,,,,,,,
 Distribution Costs ,55110125,RENTALS - CONTRACTUAL,47578.833,19917.526,3580,63916.359,,,,,,,,
 Distribution Costs ,55110126,RENTALS - NON CONTRACTUAL,39953.837,10262.486,507,49709.323,,,,,,,,
 Distribution Costs ,55110127,LISTING FEES,9786.8,15832.045,14463,11155.845,,,,,,,,
 Distribution Costs ,55110128,OFF SHELF DISPLAY (OSD),75176.418,65965.186,10648,130493.604,,,,,,,,
 Distribution Costs ,55110129,PROMOTION SPENDS,1636.547,0,0,1636.547,,,,,,,,
 Distribution Costs ,55110130,OTHER MARKET SPENDS,32079.411,5986.542,490,37575.953,,,,,,,,
 Distribution Costs ,55110131,IN-MARKET LIQUIDATION,6998.708,7266.39,1216,13049.098,,,,,,,,
 Distribution Costs ,55110132,CONTRACT &  INVENTORY SUPPORT,61141.415,9968.391,1070,70039.806,,,,,,,,
 Distribution Costs ,55110133,PRICE DIFF  PRICE INCREASE FEES,2920.732,1323.516,246,3998.248,,,,,,,,
 Distribution Costs ,55110134,FOC GOODS INCOME,-8893.548,0,1135.519,-10029.067,,,,,,,,
 Distribution Costs ,55110135,A&P SUPPORT FROM BP (NON GP),-111160,0,24249,-135409,,,,,,,,
 Distribution Costs ,55120101,SALARIES,551207.637,104285.012,7426.038,648066.611,,,,,,,,
 Distribution Costs ,55120102,LEAVE,49761.39,10363.721,2190,57935.111,,,,,,,,
