SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,,,,,
 Sales of Goods ,44110100,CASH  SALES," (53,271)", -   ," 2,587 "," (55,858)",,,,,
 Sales of Goods ,44110101,CREDIT SALES," (11,777,950)"," 10,043 "," 692,237 "," (12,460,144)",,,,,
 Sales of Goods ,44110200,DISCOUNT ON CASH SALES," 10,208 ", 347 , -   ," 10,555 ",,,,,
 Sales of Goods ,44110201,DISCOUNT ON CREDIT SALES," 800,496 "," 38,913 ", 81 ," 839,328 ",,,,,
 Cost of Sales ,44120100,COST OF CASH SALES," 30,566 "," 1,527 ", -   ," 32,093 ",,,,,
 Cost of Sales ,44120101,COST OF CREDIT SALES," 7,485,861 "," 443,676 "," 6,039 "," 7,923,498 ",,,,,
 Cost of Sales ,44120500,FOC TRANSFER -A&P RECHARGEABLE," 25,474 "," 4,188 "," 1,053 "," 28,609 ",,,,,
 Gain on foreign exchange ,44220301,EXCHANGE RATE," (3,998)", 430 ," 2,577 "," (6,146)",,,,,
 Other Income ,44220302,OTHERS," (137,882)", -   , 695 ," (138,576)",,,,,
 Other Income ,44220334,FERRERO MERCHANDISER INCOME," (349,493)", -   ," 22,579 "," (372,072)",,,,,
 Other Income ,44220335,FERRERO 3PL INCOME," (986,238)"," 1,200 "," 55,969 "," (1,041,007)",,,,,
 Other Income ,44220337,COMMISSION INCOME FROM FERGULF," (362,056)", -   ," 21,111 "," (383,167)",,,,,
 Other Income ,44220338,PROFIT SHARE FROM GOODLIFE," (3,759)", -   , -   ," (3,759)",,,,,
 Other Income ,44220339,INCOME FROM GOODLIFE," (95,000)", -   ," 7,000 "," (102,000)",,,,,
 Other Income ,44220340,INCOME FROM BATEEL," (34,340)", -   ," 2,020 "," (36,360)",,,,,
 Other Income ,44220341,INCOME FROM AL THIQA 3PL," (126,250)", -   ," 7,250 "," (133,500)",,,,,
