SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,
 Sales of Goods ,44110100,Cash  Sales,-39295.158,0,2714.123,-42009.281,
 Sales of Goods ,44110101,Credit Sales,-7377126.501,21364.878,811666.327,-8167427.95,
 Sales of Goods ,44110200,Discount On Cash Sales,10354.331,125.516,0,10479.847,
 Sales of Goods ,44110201,Discount On Credit Sales,565687.968,61976.413,0.135,627664.246,
 Cost of Sales ,44120100,Cost Of Cash Sales,22470.701,1562.574,0,24033.275,
 Cost of Sales ,44120101,Cost Of Credit Sales,4665803.514,584196.752,12307.033,5237693.233,
 Cost of Sales ,44120500,FOC Transfer -A Rechargeable,15416.257,7320.933,78127,-55389.81,
 Gain on foreign exchange ,44220301,Exchange Rate,-6850.537,7938.954,7912.374,-6823.957,
 Other Income ,44220302,Others,-5207.249,399.254,399.254,-5207.249,
 Other Income ,44220334,Other Income - Ferrero Merchandiser,-225790,0,22579,-248369,
 Other Income ,44220335,Other Income - Ferrero 3PL,-587210.271,2611.75,78464.683,-663063.204,
 Other Income ,44220337,Other Income - Commission Income From Fergulf,-211111.11,0,21111.111,-232222.221,
 Other Income ,44220339,Other Income -  Goodlife,-70000,0,7000,-77000,
 Other Income ,44220340,Other Income -  Bateel 3PL,-20200,0,2020,-22220,
 Other Income ,44220341,Other Income -  Al Thiqa 3PL,-72500,0,7250,-79750,
 Finance Cost ,44220345,Interest Income - Fixed Deposit,-47260,0,5312,-52572,
 Distribution Costs ,55110101,Staff Cost - Sales Commission,99327.067,8520.3,0,107847.367,
 Distribution Costs ,55110102,Damage,80284.637,8244.708,171.36,88357.985,
 Distribution Costs ,55110103,Advertising & Promotion,119414.46,29443.75,763.75,148094.46,
 Distribution Costs ,55110104,Cars Expenses,4875.865,331.594,0,5207.459,
 Distribution Costs ,55110107,GIFT & SAMPLE,0,2.665,0,2.665,
 Finance Cost ,55110109,Refinancing Interest - KFH / KIB,55729.314,6854.13,0,62583.444,
 Distribution Costs ,55110112,Extra Discount To Customer,441.29,0.15,0,441.44,
 Distribution Costs ,55110113,Stock Take Varaince,207.579,111.259,10.933,307.905,
 Distribution Costs ,55110119,Damages - HHT,8869.929,1259.454,0,10129.383,
 Distribution Costs ,55110123,Muncipality Samples,3008.502,242.968,0,3251.47,
 Distribution Costs ,55110124,A&P - Rebates,184903.06,20737.195,0,205640.255,
 Distribution Costs ,55110125,A&P - Rentals - Contractual,118218.306,12486.005,0,130704.311,
 Distribution Costs ,55110126,A&P - Rentals - Non Contractual,72658.636,3329.866,0,75988.502,
 Distribution Costs ,55110127,A&P - Listing Fees,22438.198,7285.84,0,29724.038,
 Distribution Costs ,55110128,A&P - Off Shelf Display (Osd),223990.701,2504.341,0,226495.042,
 Distribution Costs ,55110129,A&P - Promotion Spends,1808.827,403.941,0,2212.768,
 Distribution Costs ,55110130,A&P - Other Market Spends,55056.117,1195.535,0,56251.652,
 Distribution Costs ,55110131,A&P - In-Market Liquidation,46865.116,2303.253,0,49168.369,
 Distribution Costs ,55110132,A&P - Contract &  Inventory Support,91982.866,5128.795,0,97111.661,
 Distribution Costs ,55110133,A&P - Price Diff  Price Increase Fees,13934.581,362.569,0,14297.15,
 Distribution Costs ,55110134,A&P - Foc Goods Income,-15419.595,0,556.288,-15975.883,
 Distribution Costs ,55110135,A&P - Support From BP (Non GP),-202686,0,24718,-227404,
 Distribution Costs ,55120101,Staff Cost - Salaries,912777.349,92637.999,9107,996308.348,
 Distribution Costs ,55120102,Staff Cost - Leave,83123.963,9503.797,1226,91401.76,
 Distribution Costs ,55120103,Staff Cost - Indemnity,113375.737,9422.276,0,122798.013,
 Distribution Costs ,55120105,Staff Cost - Insurance,40583.322,7920,693,47810.322,
 Administrative expenses ,55120107,Staff Cost - Temporary Labour,35643.065,7535.769,3986,39192.834,
 Distribution Costs ,55120108,Staff cost - Training,1513.57,151.357,0,1664.927,
 Administrative expenses ,55120109,Staff Cost - Overtime,53882.868,5604.721,0,59487.589,
 Distribution Costs ,55120110,Staff Cost - Air Ticket,46686.53,4618.503,0,51305.033,
 Distribution Costs ,55120111,Staff Cost - School Fees,24010.319,2483.333,0,26493.652,
