SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,
 Sales of Goods ,44110100,Cash  Sales,-36215.189,0,3079.969,-39295.158,
 Sales of Goods ,44110101,Credit Sales,-6666405.569,23035.035,733755.967,-7377126.501,
 Sales of Goods ,44110200,Discount On Cash Sales,10192.302,162.029,0,10354.331,
 Sales of Goods ,44110201,Discount On Credit Sales,524536.713,41153.054,1.799,565687.968,
 Cost of Sales ,44120100,Cost Of Cash Sales,20727.703,1742.998,0,22470.701,
 Cost of Sales ,44120101,Cost Of Credit Sales,4211112.987,468767.547,14077.02,4665803.514,
 Cost of Sales ,44120500,FOC Transfer -A Rechargeable,17514.408,3628.849,5727,15416.257,
 Gain on foreign exchange ,44220301,Exchange Rate,-6850.54,0.007,0.004,-6850.537,
 Other Income ,44220302,Others,-3556.092,108.099,1759.256,-5207.249,
 Other Income ,44220334,Other Income - Ferrero Merchandiser,-203211,0,22579,-225790,
 Other Income ,44220335,Other Income - Ferrero 3PL,-523641.754,2755,66323.517,-587210.271,
 Other Income ,44220337,Other Income - Commission Income From Fergulf,-189999.999,0,21111.111,-211111.11,
 Other Income ,44220339,Other Income -  Goodlife,-63000,0,7000,-70000,
 Other Income ,44220340,Other Income -  Bateel 3PL,-18180,0,2020,-20200,
 Other Income ,44220341,Other Income -  Al Thiqa 3PL,-65250,0,7250,-72500,
 Finance Cost ,44220345,Interest Income - Fixed Deposit,-41948,0,5312,-47260,
 Distribution Costs ,55110101,Staff Cost - Sales Commission,91335.047,7992.02,0,99327.067,
 Distribution Costs ,55110102,Damage,73630.103,8746.051,2091.517,80284.637,
 Distribution Costs ,55110103,Advertising & Promotion,112113.96,9625.5,2325,119414.46,
 Distribution Costs ,55110104,Cars Expenses,4579.501,296.364,0,4875.865,
 Finance Cost ,55110109,Refinancing Interest - KFH / KIB,52957.566,2771.748,0,55729.314,
 Distribution Costs ,55110112,Extra Discount To Customer,441.29,0,0,441.29,
 Distribution Costs ,55110113,Stock Take Varaince,-20.733,229.818,1.506,207.579,
 Distribution Costs ,55110119,Damages - HHT,8016.144,853.785,0,8869.929,
 Distribution Costs ,55110123,Muncipality Samples,2717.892,290.61,0,3008.502,
 Distribution Costs ,55110124,A&P - Rebates,156736.92,28166.14,0,184903.06,
 Distribution Costs ,55110125,A&P - Rentals - Contractual,93178.435,25039.871,0,118218.306,
 Distribution Costs ,55110126,A&P - Rentals - Non Contractual,61700.088,10958.548,0,72658.636,
 Distribution Costs ,55110127,A&P - Listing Fees,16068.258,6369.94,0,22438.198,
 Distribution Costs ,55110128,A&P - Off Shelf Display (Osd),207637.421,16353.28,0,223990.701,
 Distribution Costs ,55110129,A&P - Promotion Spends,1151.301,657.526,0,1808.827,
 Distribution Costs ,55110130,A&P - Other Market Spends,51095.655,3960.462,0,55056.117,
 Distribution Costs ,55110131,A&P - In-Market Liquidation,40404.737,6460.379,0,46865.116,
 Distribution Costs ,55110132,A&P - Contract &  Inventory Support,82690.326,9292.54,0,91982.866,
 Distribution Costs ,55110133,A&P - Price Diff  Price Increase Fees,8565.166,5515.16,145.745,13934.581,
 Distribution Costs ,55110134,A&P - Foc Goods Income,-11229.17,0,4190.425,-15419.595,
 Distribution Costs ,55110135,A&P - Support From BP (Non GP),-182093,0,20593,-202686,
 Distribution Costs ,55120101,Staff Cost - Salaries,822336.804,100387.545,9947,912777.349,
 Distribution Costs ,55120102,Staff Cost - Leave,74836.993,9486.97,1200,83123.963,
 Distribution Costs ,55120103,Staff Cost - Indemnity,103683.848,9691.889,0,113375.737,
