SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,
 Sales of Goods ,44110100,Cash  Sales,-34167.08,0,2048.109,-36215.189,
 Sales of Goods ,44110101,Credit Sales,-5976950.754,16866.162,706320.977,-6666405.569,
 Sales of Goods ,44110200,Discount On Cash Sales,10019.12,173.182,0,10192.302,
 Sales of Goods ,44110201,Discount On Credit Sales,478255.64,46281.596,0.523,524536.713,
 Cost of Sales ,44120100,Cost Of Cash Sales,19524.231,1203.472,0,20727.703,
 Cost of Sales ,44120101,Cost Of Credit Sales,3770759.879,449583.11,9230.002,4211112.987,
 Cost of Sales ,44120500,FOC Transfer -A Rechargeable,14783.213,3958.195,1227,17514.408,
 Gain on foreign exchange ,44220301,Exchange Rate,-6552.103,1295.306,1593.743,-6850.54,
 Other Income ,44220302,Others,-3556.092,0,0,-3556.092,
 Other Income ,44220334,Other Income - Ferrero Merchandiser,-180632,0,22579,-203211,
 Other Income ,44220335,Other Income - Ferrero 3PL,-459825.14,1890,65706.614,-523641.754,
 Other Income ,44220337,Other Income - Commission Income From Fergulf,-168888.888,0,21111.111,-189999.999,
 Other Income ,44220339,Other Income -  Goodlife,-56000,0,7000,-63000,
 Other Income ,44220340,Other Income -  Bateel 3PL,-16160,0,2020,-18180,
 Other Income ,44220341,Other Income -  Al Thiqa 3PL,-58000,0,7250,-65250,
 Finance Cost ,44220345,Interest Income - Fixed Deposit,-36012,0,5936,-41948,
 Distribution Costs ,55110101,Staff Cost - Sales Commission,80329.017,11908.38,902.35,91335.047,
 Distribution Costs ,55110102,Damage,34131.306,79498.797,40000,73630.103,
 Distribution Costs ,55110103,Advertising & Promotion,100852.69,12162.27,901,112113.96,
 Distribution Costs ,55110104,Cars Expenses,4348.887,365.614,135,4579.501,
 Finance Cost ,55110109,Refinancing Interest - KFH / KIB,44073.603,8883.963,0,52957.566,
 Distribution Costs ,55110112,Extra Discount To Customer,441.29,0,0,441.29,
 Distribution Costs ,55110113,Stock Take Varaince,-58.072,40.168,2.829,-20.733,
 Distribution Costs ,55110119,Damages - HHT,7325.65,690.494,0,8016.144,
 Distribution Costs ,55110123,Muncipality Samples,2499.643,218.249,0,2717.892,
 Distribution Costs ,55110124,A&P - Rebates,135696.648,21040.272,0,156736.92,
 Distribution Costs ,55110125,A&P - Rentals - Contractual,80009.397,13169.038,0,93178.435,
 Distribution Costs ,55110126,A&P - Rentals - Non Contractual,55029.133,6670.955,0,61700.088,
 Distribution Costs ,55110127,A&P - Listing Fees,13552.978,4695.28,2180,16068.258,
 Distribution Costs ,55110128,A&P - Off Shelf Display (Osd),177159.765,30477.656,0,207637.421,
 Distribution Costs ,55110129,A&P - Promotion Spends,1473.331,0,322.03,1151.301,
 Distribution Costs ,55110130,A&P - Other Market Spends,45431.961,5663.694,0,51095.655,
 Distribution Costs ,55110131,A&P - In-Market Liquidation,19954.667,20450.07,0,40404.737,
 Distribution Costs ,55110132,A&P - Contract &  Inventory Support,73946.722,8743.604,0,82690.326,
 Distribution Costs ,55110133,A&P - Price Diff  Price Increase Fees,4292.561,4272.605,0,8565.166,
 Distribution Costs ,55110134,A&P - Foc Goods Income,-10737.774,0,491.396,-11229.17,
 Distribution Costs ,55110135,A&P - Support From BP (Non GP),-162977,0,19116,-182093,
 Distribution Costs ,55120101,Staff Cost - Salaries,733658.452,100735.352,12057,822336.804,
 Distribution Costs ,55120102,Staff Cost - Leave,66309.639,9727.354,1200,74836.993,
 Distribution Costs ,55120103,Staff Cost - Indemnity,94357.959,9325.889,0,103683.848,
 Distribution Costs ,55120105,Staff Cost - Insurance,29848.322,3565,0,33413.322,
 Administrative expenses ,55120107,Staff Cost - Temporary Labour,28543.115,4614.95,1065,32093.065,
 Distribution Costs ,55120108,Staff cost - Training,1210.856,151.357,0,1362.213,
 Administrative expenses ,55120109,Staff Cost - Overtime,42769.082,6325.69,440,48654.772,
 Distribution Costs ,55120110,Staff Cost - Air Ticket,37449.524,4618.503,0,42068.027,
 Distribution Costs ,55120111,Staff Cost - School Fees,19043.653,2483.333,0,21526.986,
 Distribution Costs ,55120112,Staff Cost - Staff Welfare,1698.34,0,0,1698.34,
 Distribution Costs ,55120113,Staff Cost - Extra Commission,58.56,0,58.56,0,
 Distribution Costs ,55120114,Staff Cost - Health Card,1238,281,0,1519,
 Distribution Costs ,55120115,Staff Cost - Family Visa,45,0,45,0,
 Distribution Costs ,55120119,Staff Cost - Civil Id Fees,705,100,0,805,
 Distribution Costs ,55120121,Staff Cost - Group Life Insurance,5820.63,696.224,0,6516.854,
 Administrative expenses ,55120124,Staff Cost - Security Guard-Outsourced,13500,2430,1080,14850,
 Distribution Costs ,55120125,Staff Cost - Salary Recharge,-69336.692,0,8486.215,-77822.907,
 Distribution Costs ,55130101,Veh R&M - Mitsubish  #19/6744 - Log-V09,1769.95,112,0,1881.95,
 Distribution Costs ,55130113,Veh R&M - Veh R&M - Nissan#2/22404 - Log-V04,623,60.5,0,683.5,
 Distribution Costs ,55130136,Veh R&M - Mitsubishi 16/6825 -  Log-V12,1218.916,160.25,0,1379.166,
 Distribution Costs ,55130154,Veh R&M - Mitsubishi- 5/85020 -  Log-V15,1145.783,304,0,1449.783,
 Distribution Costs ,55130155,Veh R&M - Mitsubishi-9/30258 -  Log-V16,1287.2,90.5,0,1377.7,
 Distribution Costs ,55130156,Veh R&M - Isuzu 19/17885 -  Log-V17,1447.684,205.25,0,1652.934,
 Distribution Costs ,55130157,Veh R&M - Mitsubishi-  5/84205 -  Log-V18,1381.028,591.856,0,1972.884,
 Distribution Costs ,55130158,Veh R&M - Mitsubishi   5/80820 -  Log-V19,1013.577,275.555,0,1289.132,
 Distribution Costs ,55130159,Veh R&M - Mitsubishi   6/90521 -  Log-V20,1558.132,778.306,0,2336.438,
 Distribution Costs ,55130160,Veh R&M - Isuzu 4/87409 - Cpd(Brn)-V21,1779.977,131.806,0,1911.783,
 Distribution Costs ,55130161,Veh R&M - Isuzu 4/87196 - Cpd(Brn)-V22,1006.978,212.056,0,1219.034,
 Distribution Costs ,55130162,Veh R&M - Isuzu 5/91368 - Cpd(Brn)-V23,722.25,68.25,0,790.5,
